produce_type,temperature,humidity,voc,storage_age,initial_shelf_life,remaining_shelf_life
Spinach,29.8,77.3,1.759,6.8,12,0.0
Broccoli,34.0,74.8,0.294,0.4,18,5.4
Banana,37.4,50.0,15.0,18.9,20,0.0
Grapes,14.6,86.6,0.224,6.0,45,10.1
Strawberry,30.3,53.2,15.0,3.0,5,0.0
Carrot,0.9,94.0,0.02,1.9,30,27.8
Mango,33.6,63.5,0.388,0.4,21,14.5
Strawberry,-0.7,90.9,1.154,4.3,5,0.0
Mango,12.3,97.1,0.491,4.2,21,13.7
Banana,37.4,81.3,14.934,11.4,20,0.0
Onion_Green,-1.5,92.8,0.083,6.5,25,16.6
Strawberry,2.6,98.6,0.271,0.9,5,3.6
Carrot,35.7,57.0,0.09,0.3,30,20.7
Apple,34.1,82.4,15.0,111.4,180,0.0
Strawberry,34.2,61.6,2.887,0.4,5,0.0
Apple,7.9,84.8,0.62,65.5,180,0.0
Onion_Green,35.6,69.6,15.0,18.3,25,0.0
Onion_Green,-1.4,93.4,0.284,21.3,25,0.0
Tomato,17.9,87.6,0.605,5.0,21,12.1
Mango,34.0,74.3,15.0,17.6,21,0.0
Cucumber,34.3,80.5,4.524,10.7,14,0.0
Strawberry,0.8,91.7,1.025,3.1,5,0.0
Carrot,36.6,50.2,4.048,14.6,30,0.0
Apple,0.9,90.5,0.217,37.5,180,131.5
Orange,31.6,84.0,7.85,64.0,70,0.0
Tomato,14.0,87.3,0.053,0.8,21,20.1
Tomato,17.2,99.4,1.091,9.0,21,0.0
Spinach,30.4,75.5,1.586,4.3,12,0.0
Mango,32.0,78.6,14.259,15.9,21,0.0
Grapes,31.3,57.7,6.32,30.4,45,0.0
Onion_Green,-1.6,98.9,0.245,16.4,25,2.7
Tomato,16.2,93.8,0.992,10.8,21,0.0
Cucumber,13.1,96.6,0.235,7.4,14,4.0
Bell Pepper,37.0,72.2,3.488,5.9,18,0.0
Apple,36.5,80.0,15.0,69.2,180,0.0
Bell Pepper,37.7,59.9,4.18,5.3,18,0.0
Banana,11.6,100.0,1.185,13.6,20,0.0
Mango,11.3,95.1,0.8,6.2,21,8.2
Strawberry,6.5,86.1,1.558,2.8,5,0.0
Orange,5.8,95.5,0.436,38.4,70,0.0
Tomato,15.1,90.4,0.036,0.6,21,20.3
Strawberry,11.9,85.5,3.195,3.6,5,0.0
Potato,32.3,83.8,2.761,183.1,200,0.0
Potato,9.7,92.2,0.088,70.9,200,119.7
Cucumber,35.0,70.0,0.52,1.4,14,0.0
Banana,12.3,93.8,0.761,5.7,20,8.7
Cucumber,36.7,82.0,3.685,6.8,14,0.0
Tomato,16.5,85.8,1.49,17.7,21,0.0
Onion_Green,0.2,94.9,0.021,1.0,25,24.0
Grapes,36.6,58.8,0.546,1.8,45,0.0
Onion_Green,0.1,94.3,0.32,18.3,25,0.0
Mango,29.9,64.4,8.215,14.0,21,0.0
Orange,37.8,68.1,4.402,21.5,70,0.0
Strawberry,30.5,56.5,3.238,0.5,5,0.0
Onion_Green,-2.0,100.0,0.052,3.8,25,20.5
Carrot,-2.0,100.0,0.162,17.5,30,5.3
Spinach,-0.8,98.2,0.018,1.5,12,10.4
Onion_Green,-0.4,98.8,0.194,11.3,25,10.9
Cucumber,36.1,62.1,2.434,6.2,14,0.0
Onion,20.3,75.2,0.228,107.1,180,0.0
Cucumber,27.3,87.1,1.501,8.2,14,0.0
Mango,25.8,90.4,3.584,9.2,21,0.0
Apple,34.3,78.7,15.0,111.4,180,0.0
Strawberry,-0.8,91.0,0.43,1.6,5,2.5
Cucumber,9.0,100.0,0.156,6.6,14,4.2
Broccoli,35.4,78.1,4.473,4.9,18,0.0
Cucumber,27.1,93.4,1.569,9.8,14,0.0
Orange,33.6,58.4,6.227,45.2,70,0.0
Spinach,29.0,81.6,1.472,5.8,12,0.0
Broccoli,1.4,96.3,0.481,16.4,18,0.0
Onion_Green,33.7,72.1,4.244,10.7,25,0.0
Broccoli,-1.8,100.0,0.325,16.6,18,0.0
Carrot,34.2,53.5,0.642,2.5,30,0.0
Banana,29.5,68.0,2.727,4.5,20,0.0
Orange,6.7,86.1,0.573,63.0,70,0.0
Grapes,-0.3,89.4,0.172,14.2,45,27.0
Bell Pepper,19.9,81.1,0.132,1.1,18,13.8
Grapes,1.2,90.9,0.029,3.6,45,41.1
Tomato,16.6,90.5,1.741,19.8,21,0.0
Mango,11.8,91.1,0.647,5.9,21,10.2
Tomato,18.2,95.9,0.101,1.0,21,19.3
Strawberry,2.0,93.9,0.558,1.9,5,1.7
Strawberry,4.8,84.3,1.544,3.9,5,0.0
Bell Pepper,10.7,92.1,0.458,10.0,18,2.4
Carrot,14.5,85.2,1.138,28.1,30,0.0
Onion_Green,-1.6,98.3,0.026,1.6,25,23.3
Carrot,10.7,87.2,0.649,24.7,30,0.0
Potato,35.6,63.2,1.039,45.9,200,0.0
Carrot,1.2,99.0,0.078,6.6,30,22.7
Strawberry,2.8,92.5,0.819,2.3,5,0.2
Apple,12.0,88.3,1.762,96.0,180,0.0
Onion_Green,1.5,99.4,0.374,16.8,25,0.0
Apple,34.2,84.3,15.0,104.0,180,0.0
Apple,31.5,68.0,15.0,134.0,180,0.0
Strawberry,3.4,93.2,1.795,3.8,5,0.0
Tomato,16.3,88.7,0.825,9.9,21,1.3
Grapes,-2.0,95.2,0.283,23.0,45,11.2
Broccoli,-1.7,94.2,0.121,6.0,18,10.4
Apple,33.2,84.1,15.0,103.0,180,0.0
Banana,13.2,92.2,0.39,4.0,20,14.1
Banana,12.2,89.0,0.249,1.8,20,17.3
Orange,37.2,52.1,3.852,18.5,70,0.0
Tomato,16.8,87.6,0.941,10.8,21,0.0
Strawberry,0.6,97.4,0.079,0.3,5,4.7
Orange,6.3,88.9,0.401,49.9,70,0.0
Carrot,29.8,69.7,3.216,24.0,30,0.0
Onion,22.5,70.1,0.336,135.0,180,0.0
Onion_Green,33.6,70.5,6.178,13.4,25,0.0
Cucumber,13.6,91.1,0.266,7.6,14,2.5
Onion,20.8,66.9,0.232,145.5,180,0.0
Bell Pepper,10.1,90.0,0.293,7.1,18,8.1
Mango,12.9,92.5,2.031,14.4,21,0.0
Bell Pepper,33.6,70.0,1.797,4.9,18,0.0
Onion,30.0,75.8,0.594,90.6,180,0.0
Tomato,17.8,92.2,0.437,3.2,21,15.6
Tomato,14.1,93.7,0.524,11.0,21,0.0
Banana,13.1,94.8,1.6,13.0,20,0.0
Orange,7.9,95.1,0.663,56.6,70,0.0
Strawberry,29.2,75.6,15.0,4.5,5,0.0
Grapes,2.4,90.7,0.109,7.1,45,36.1
Potato,9.5,88.6,0.321,172.5,200,0.0
Banana,32.4,63.2,5.174,8.8,20,0.0
Onion,36.0,49.6,0.738,60.8,180,0.0
Potato,34.2,54.1,2.281,178.6,200,0.0
Spinach,34.9,55.8,6.25,10.0,12,0.0
Broccoli,29.5,60.9,1.83,4.3,18,0.0
Spinach,2.0,94.8,0.098,5.7,12,5.3
Grapes,0.4,96.4,0.07,6.5,45,37.3
Onion_Green,14.0,97.5,1.3,17.0,25,0.0
Bell Pepper,33.8,64.0,3.534,8.0,18,0.0
Bell Pepper,9.5,99.6,0.398,12.4,18,0.0
Mango,28.2,72.8,9.712,15.4,21,0.0
Onion_Green,3.2,100.0,0.482,22.2,25,0.0
Bell Pepper,11.2,91.3,0.587,14.3,18,0.0
Tomato,33.2,70.7,3.561,8.0,21,0.0
Mango,34.0,54.0,8.519,8.3,21,0.0
Cucumber,31.5,62.1,2.003,9.8,14,0.0
Strawberry,30.5,70.2,5.026,0.9,5,0.0
Potato,31.6,70.3,1.747,120.2,200,0.0
Strawberry,7.2,79.6,0.779,1.5,5,0.0
Bell Pepper,30.1,81.4,1.442,3.6,18,0.0
Banana,12.3,93.2,1.375,10.2,20,0.0
Tomato,23.0,78.5,0.479,3.7,21,10.1
Bell Pepper,17.7,88.6,0.249,4.4,18,6.6
Spinach,-0.0,100.0,0.106,7.5,12,3.1
Orange,36.6,79.1,5.142,26.5,70,0.0
Potato,6.0,89.8,0.023,16.6,200,180.0
Potato,9.7,93.5,0.11,80.1,200,106.7
Banana,34.2,61.8,14.125,15.7,20,0.0
Mango,12.8,100.0,0.772,8.8,21,0.8
Strawberry,0.7,89.6,1.152,4.7,5,0.0
Banana,13.8,93.4,1.102,12.1,20,0.0
Spinach,-0.5,100.0,0.024,1.6,12,10.2
Potato,9.4,87.6,0.188,105.3,200,52.3
Carrot,9.3,89.1,0.081,4.1,30,18.0
Broccoli,7.3,95.8,0.163,3.1,18,11.0
Grapes,32.0,77.0,5.232,18.1,45,0.0
Tomato,16.3,83.2,0.717,7.8,21,5.5
Orange,15.7,79.7,0.995,40.6,70,0.0
Orange,35.3,57.5,0.418,2.2,70,13.8
Mango,13.4,93.2,2.781,19.1,21,0.0
Banana,12.4,93.0,0.96,9.5,20,0.0
Broccoli,7.6,87.1,0.078,1.4,18,13.8
Tomato,15.6,87.3,0.324,3.8,21,15.7
Bell Pepper,35.6,72.4,7.352,13.0,18,0.0
Orange,7.1,82.9,0.685,65.7,70,0.0
Grapes,0.2,99.4,0.394,42.7,45,0.0
Spinach,4.9,94.3,0.301,10.5,12,0.0
Banana,26.0,86.5,0.566,1.1,20,14.6
Spinach,-2.0,93.3,0.019,1.5,12,10.1
Banana,33.3,65.4,8.006,7.7,20,0.0
Mango,31.2,71.9,15.0,17.7,21,0.0
Cucumber,32.2,66.2,4.076,13.2,14,0.0
Broccoli,31.5,76.9,3.505,6.9,18,0.0
Potato,13.7,85.3,0.183,75.7,200,41.0
Mango,30.4,53.9,4.877,7.1,21,0.0
Bell Pepper,35.2,70.6,2.231,4.8,18,0.0
Mango,11.7,92.0,1.796,17.6,21,0.0
Bell Pepper,9.8,100.0,0.245,6.9,18,6.4
Apple,13.3,79.3,0.754,37.8,180,0.0
Tomato,36.3,78.0,7.906,12.6,21,0.0
Mango,29.7,63.9,8.349,15.2,21,0.0
Bell Pepper,37.0,66.2,4.092,10.7,18,0.0
Broccoli,-1.3,98.4,0.23,11.2,18,3.2
Potato,30.8,58.8,0.014,1.1,200,180.3
Banana,14.2,94.6,0.164,1.5,20,18.1
Tomato,16.6,90.6,1.998,18.1,21,0.0
Orange,17.5,80.4,1.496,53.0,70,0.0
Orange,4.6,86.7,0.192,22.3,70,42.4
Strawberry,-0.4,91.4,0.85,3.6,5,0.0
Onion_Green,2.4,98.5,0.138,6.2,25,17.0
Orange,2.2,89.4,0.443,51.9,70,0.0
Onion,19.9,66.5,0.261,143.7,180,0.0
Potato,7.9,93.0,0.019,13.0,200,186.6
Broccoli,1.1,100.0,0.185,8.2,18,7.5
Broccoli,2.9,100.0,0.343,11.7,18,0.0
Cucumber,12.5,94.9,0.058,1.4,14,12.4
Grapes,2.3,100.0,0.197,11.8,45,24.8
Tomato,28.3,75.6,4.809,18.2,21,0.0
Broccoli,14.6,86.3,0.377,3.7,18,0.0
